DATE,Gasoline % Change
1950-09,.
1950-10,.
1950-11,.
1950-12,.
1951-01,.
1951-02,.
1951-03,.
1951-04,.
1951-05,.
1951-06,.
1951-07,.
1951-08,.
1951-09,.
1951-10,.
1951-11,.
1951-12,.
1952-01,.
1952-02,.
1952-03,.
1952-04,.
1952-05,.
1952-06,.
1952-07,.
1952-08,.
1952-09,.
1952-10,.
1952-11,.
1952-12,.
1953-01,.
1953-02,.
1953-03,.
1953-04,.
1953-05,.
1953-06,.
1953-07,.
1953-08,.
1953-09,.
1953-10,.
1953-11,.
1953-12,.
1954-01,.
1954-02,.
1954-03,.
1954-04,.
1954-05,.
1954-06,.
1954-07,.
1954-08,.
1954-09,.
1954-10,.
1954-11,.
1954-12,.
1955-01,.
1955-02,.
1955-03,.
1955-04,.
1955-05,.
1955-06,.
1955-07,.
1955-08,.
1955-09,.
1955-10,.
1955-11,.
1955-12,.
1956-01,.
1956-02,.
1956-03,.
1956-04,.
1956-05,.
1956-06,.
1956-07,.
1956-08,.
1956-09,.
1956-10,.
1956-11,.
1956-12,.
1957-01,0.43103
1957-02,2.14592
1957-03,0.84034
1957-04,0.00000
1957-05,-0.41667
1957-06,0.00000
1957-07,0.41841
1957-08,-1.66667
1957-09,0.42373
1957-10,-0.42194
1957-11,0.84746
1957-12,-0.42017
1958-01,0.42194
1958-02,-2.94118
1958-03,1.29870
1958-04,-1.28205
1958-05,1.29870
1958-06,-0.42735
1958-07,2.14592
1958-08,1.26050
1958-09,-1.24481
1958-10,-0.84034
1958-11,-2.11864
1958-12,-1.29870
1959-01,0.00000
1959-02,1.75439
1959-03,1.29310
1959-04,0.42553
1959-05,-0.42373
1959-06,0.42553
1959-07,-0.42373
1959-08,2.12766
1959-09,-0.83333
1959-10,2.94118
1959-11,-0.40816
1959-12,0.00000
1960-01,-0.81967
1960-02,-1.23967
1960-03,0.83682
1960-04,0.00000
1960-05,-0.82988
1960-06,1.67364
1960-07,1.23457
1960-08,1.21951
1960-09,-0.40161
1960-10,-1.20968
1960-11,1.63265
1960-12,-0.80321
1961-01,0.40486
1961-02,-1.61290
1961-03,-0.40984
1961-04,-3.70370
1961-05,0.85470
1961-06,1.27119
1961-07,1.25523
1961-08,0.82645
1961-09,0.40984
1961-10,-1.22449
1961-11,0.41322
1961-12,-1.64609
1962-01,0.41841
1962-02,0.83333
1962-03,-1.23967
1962-04,2.51046
1962-05,-0.81633
1962-06,-0.82305
1962-07,-2.07469
1962-08,1.69492
1962-09,3.75000
1962-10,-0.80321
1962-11,-0.80972
1962-12,1.22449
1963-01,-0.80645
1963-02,-0.81301
1963-03,0.00000
1963-04,-1.63934
1963-05,0.41667
1963-06,-0.82988
1963-07,1.67364
1963-08,1.64609
1963-09,-2.42915
1963-10,0.82988
1963-11,-0.82305
1963-12,0.41494
1964-01,.
1964-02,.
1964-03,.
1964-04,.
1964-05,.
1964-06,.
1964-07,.
1964-08,.
1964-09,.
1964-10,.
1964-11,.
1964-12,.
1965-01,.
1965-02,.
1965-03,.
1965-04,.
1965-05,.
1965-06,.
1965-07,.
1965-08,.
1965-09,.
1965-10,.
1965-11,.
1965-12,.
1966-01,.
1966-02,.
1966-03,.
1966-04,.
1966-05,.
1966-06,.
1966-07,.
1966-08,.
1966-09,.
1966-10,.
1966-11,.
1966-12,.
1967-01,0.76923
1967-02,-0.76336
1967-03,0.76923
1967-04,0.76336
1967-05,0.00000
1967-06,0.37879
1967-07,0.00000
1967-08,-0.37736
1967-09,1.51515
1967-10,-1.49254
1967-11,1.51515
1967-12,-1.49254
1968-01,1.13636
1968-02,0.00000
1968-03,0.37453
1968-04,-1.11940
1968-05,0.00000
1968-06,1.13208
1968-07,0.00000
1968-08,0.74627
1968-09,-0.37037
1968-10,0.37175
1968-11,0.00000
1968-12,-0.74074
1969-01,1.11940
1969-02,0.00000
1969-03,2.21402
1969-04,0.72202
1969-05,-0.71685
1969-06,1.44404
1969-07,-1.06762
1969-08,0.35971
1969-09,-0.35842
1969-10,0.35971
1969-11,-1.43369
1969-12,0.72727
1970-01,-0.36101
1970-02,0.00000
1970-03,-1.08696
1970-04,3.29670
1970-05,-0.35461
1970-06,-1.06762
1970-07,1.07914
1970-08,-1.42349
1970-09,0.72202
1970-10,1.07527
1970-11,-0.35461
1970-12,1.06762
1971-01,0.00000
1971-02,-1.40845
1971-03,-0.35714
1971-04,-1.79211
1971-05,0.36496
1971-06,0.72727
1971-07,-0.72202
1971-08,3.63636
1971-09,0.70175
1971-10,0.00000
1971-11,-1.74216
1971-12,0.35461
1972-01,-0.35336
1972-02,-1.06383
1972-03,0.35842
1972-04,-1.07143
1972-05,1.44404
1972-06,-0.71174
1972-07,1.07527
1972-08,1.41844
1972-09,2.09790
1972-10,-0.34247
1972-11,0.00000
1972-12,0.00000
1973-01,0.34364
1973-02,0.68493
1973-03,0.68027
1973-04,1.68919
1973-05,1.32890
1973-06,2.62295
1973-07,0.31949
1973-08,0.00000
1973-09,-0.95541
1973-10,3.53698
1973-11,3.72671
1973-12,4.19162
1974-01,6.32184
1974-02,5.40541
1974-03,7.43590
1974-04,1.67064
1974-05,2.58216
1974-06,0.91533
1974-07,0.45351
1974-08,-0.67720
1974-09,-0.68182
1974-10,-2.74600
1974-11,-1.17647
1974-12,0.00000
1975-01,0.71429
1975-02,0.23641
1975-03,0.23585
1975-04,1.17647
1975-05,1.86047
1975-06,2.96804
1975-07,4.21286
1975-08,0.63830
1975-09,0.21142
1975-10,-0.42194
1975-11,-0.84746
1975-12,-0.42735
1976-01,-0.21459
1976-02,-1.07527
1976-03,-1.30435
1976-04,-0.44053
1976-05,1.54867
1976-06,2.61438
1976-07,1.27389
1976-08,0.62893
1976-09,0.20833
1976-10,0.00000
1976-11,-0.20790
1976-12,-0.20833
1977-01,0.00000
1977-02,1.25261
1977-03,0.61856
1977-04,1.22951
1977-05,1.21457
1977-06,0.60000
1977-07,0.19881
1977-08,0.00000
1977-09,-0.19841
1977-10,-0.19881
1977-11,-0.19920
1977-12,0.19960
1978-01,0.00000
1978-02,-0.19920
1978-03,-0.19960
1978-04,0.40000
1978-05,0.99602
1978-06,1.18343
1978-07,1.55945
1978-08,1.34357
1978-09,0.75758
1978-10,0.18797
1978-11,0.93809
1978-12,1.30112
1979-01,1.28440
1979-02,1.99275
1979-03,3.55240
1979-04,6.34648
1979-05,5.48387
1979-06,7.03364
1979-07,5.71429
1979-08,4.18919
1979-09,3.11284
1979-10,0.88050
1979-11,1.12219
1979-12,2.21948
1980-01,6.63450
1980-02,6.90045
1980-03,3.70370
1980-04,1.02041
1980-05,0.20202
1980-06,0.20161
1980-07,0.10060
1980-08,-0.20101
1980-09,-0.80564
1980-10,-0.60914
1980-11,0.00000
1980-12,0.71502
1981-01,3.14402
1981-02,6.68633
1981-03,2.39631
1981-04,-0.27003
1981-05,-0.72202
1981-06,-0.45455
1981-07,-0.36530
1981-08,-0.36664
1981-09,-0.09200
1981-10,-0.27624
1981-11,-0.09234
1981-12,-0.27726
1982-01,-0.64875
1982-02,-1.67910
1982-03,-3.79507
1982-04,-4.43787
1982-05,0.92879
1982-06,5.93047
1982-07,2.02703
1982-08,-0.47304
1982-09,-1.04563
1982-10,-0.86455
1982-11,-0.67829
1982-12,-1.75610
1983-01,-2.48262
1983-02,-3.36049
1983-03,-2.95047
1983-04,5.42888
1983-05,3.60453
1983-06,1.39165
1983-07,0.78431
1983-08,0.09728
1983-09,-0.68027
1983-10,-1.17417
1983-11,-1.08911
1983-12,-0.80080
1984-01,-1.31181
1984-02,-0.40900
1984-03,0.00000
1984-04,1.43737
1984-05,0.70850
1984-06,-0.50251
1984-07,-1.31313
1984-08,-1.12590
1984-09,0.51760
1984-10,0.72091
1984-11,-0.30675
1984-12,-0.92308
1985-01,-2.48447
1985-02,-1.38004
1985-03,2.36814
1985-04,3.78549
1985-05,2.02634
1985-06,0.89374
1985-07,0.19685
1985-08,-0.98232
1985-09,-1.09127
1985-10,-0.90271
1985-11,0.50607
1985-12,0.20141
1986-01,-1.10553
1986-02,-5.79268
1986-03,-12.29773
1986-04,-9.47109
1986-05,3.66848
1986-06,3.53866
1986-07,-6.45570
1986-08,-5.14208
1986-09,1.99715
1986-10,-2.93706
1986-11,-1.00865
1986-12,0.43668
1987-01,5.36232
1987-02,4.40165
1987-03,0.65876
1987-04,2.61780
1987-05,0.76531
1987-06,2.15190
1987-07,1.73482
1987-08,2.67966
1987-09,-0.35587
1987-10,-1.07143
1987-11,0.00000
1987-12,-1.56438
1988-01,-2.81174
1988-02,-1.76101
1988-03,-1.02433
1988-04,2.45796
1988-05,2.65152
1988-06,0.00000
1988-07,1.23001
1988-08,2.30863
1988-09,-1.30641
1988-10,-1.80505
1988-11,-0.24510
1988-12,-1.35135
1989-01,-1.12080
1989-02,0.88161
1989-03,1.49813
1989-04,13.28413
1989-05,4.99457
1989-06,-0.51706
1989-07,-1.66320
1989-08,-3.69979
1989-09,-2.52470
1989-10,0.00000
1989-11,-2.02703
1989-12,-1.72414
1990-01,5.96491
1990-02,-0.44150
1990-03,-1.21951
1990-04,2.13244
1990-05,1.53846
1990-06,2.38095
1990-07,-0.21142
1990-08,9.21610
1990-09,8.43841
1990-10,6.17174
1990-11,0.08425
1990-12,-1.51515
1991-01,-7.69231
1991-02,-8.05556
1991-03,-5.13595
1991-04,1.80467
1991-05,4.48384
1991-06,0.39920
1991-07,-2.38569
1991-08,1.12016
1991-09,0.50352
1991-10,-1.60321
1991-11,0.91650
1991-12,-1.00908
1992-01,-3.87360
1992-02,-1.69671
1992-03,0.53937
1992-04,1.71674
1992-05,4.85232
1992-06,3.62173
1992-07,-0.09709
1992-08,-1.06900
1992-09,0.00000
1992-10,-0.29470
1992-11,0.68966
1992-12,-2.05479
1993-01,-1.59840
1993-02,-0.71066
1993-03,-0.71575
1993-04,1.13285
1993-05,1.42566
1993-06,0.00000
1993-07,-1.60643
1993-08,-1.12245
1993-09,-1.03199
1993-10,3.44108
1993-11,-1.41129
1993-12,-3.68098
1994-01,-2.22930
1994-02,0.97720
1994-03,-0.32258
1994-04,1.72600
1994-05,1.37858
1994-06,2.40586
1994-07,2.55363
1994-08,3.68526
1994-09,-0.48031
1994-10,-1.83398
1994-11,0.88496
1994-12,-2.33918
1995-01,-1.79641
1995-02,-0.71138
1995-03,-0.51177
1995-04,2.16049
1995-05,4.93454
1995-06,2.01536
1995-07,-2.44591
1995-08,-2.60366
1995-09,-1.28713
1995-10,-1.70512
1995-11,-2.04082
1995-12,0.00000
1996-01,2.29167
1996-02,-0.40733
1996-03,3.37423
1996-04,7.02275
1996-05,4.71349
1996-06,-2.03001
1996-07,-1.98198
1996-08,-2.48162
1996-09,-0.37700
1996-10,-0.47304
1996-11,1.80608
1996-12,0.74697
1997-01,0.00000
1997-02,-0.46339
1997-03,-1.48976
1997-04,-0.37807
1997-05,-0.18975
1997-06,0.19011
1997-07,-1.80266
1997-08,3.76812
1997-09,1.67598
1997-10,-2.47253
1997-11,-2.25352
1997-12,-2.68972
1998-01,-4.04738
1998-02,-3.80658
1998-03,-3.42246
1998-04,0.88594
1998-05,3.40285
1998-06,0.10616
1998-07,-1.16649
1998-08,-2.25322
1998-09,-1.75631
1998-10,0.89385
1998-11,-1.21816
1998-12,-3.92377
1999-01,-1.40023
1999-02,-1.65680
1999-03,3.24910
1999-04,17.01632
1999-05,0.39841
1999-06,-2.18254
1999-07,3.34686
1999-08,5.20118
1999-09,2.33209
1999-10,-0.27347
1999-11,-0.63985
1999-12,2.57590
2000-01,0.35874
2000-02,4.82574
2000-03,11.59420
2000-04,-2.29183
2000-05,-0.23456
2000-06,8.38558
2000-07,-2.09689
2000-08,-5.68685
2000-09,5.16836
2000-10,-1.48920
2000-11,-0.07559
2000-12,-3.93343
2001-01,-0.94488
2001-02,0.79491
2001-03,-2.76025
2001-04,7.70479
2001-05,9.93976
2001-06,-3.21918
2001-07,-11.60651
2001-08,-2.96237
2001-09,7.83828
2001-10,-11.55318
2001-11,-10.20761
2001-12,-8.09249
2002-01,1.88679
2002-02,0.41152
2002-03,9.73361
2002-04,12.79178
2002-05,0.00000
2002-06,-1.07616
2002-07,0.66946
2002-08,0.49875
2002-09,0.16543
2002-10,2.31214
2002-11,-0.08071
2002-12,-3.79645
2003-01,5.54156
2003-02,11.13763
2003-03,5.51181
2003-04,-5.08820
2003-05,-6.64761
2003-06,-0.84227
2003-07,0.38610
2003-08,6.46154
2003-09,5.85260
2003-10,-7.16724
2003-11,-3.97059
2003-12,-2.60337
2004-01,6.99686
2004-02,4.70242
2004-03,5.12281
2004-04,3.67156
2004-05,9.33677
2004-06,1.70789
2004-07,-4.74812
2004-08,-2.00608
2004-09,-0.43424
2004-10,7.28972
2004-11,-0.69686
2004-12,-6.19883
2005-01,-2.99252
2005-02,5.01285
2005-03,7.09914
2005-04,10.22857
2005-05,-2.90306
2005-06,-1.44154
2005-07,6.44637
2005-08,7.73537
2005-09,17.38309
2005-10,-5.07042
2005-11,-15.81178
2005-12,-6.24371
2006-01,6.44468
2006-02,-0.60545
2006-03,3.90863
2006-04,14.50904
2006-05,6.56997
2006-06,-1.00080
2006-07,2.95188
2006-08,-0.54988
2006-09,-13.50711
2006-10,-12.00913
2006-11,-1.24546
2006-12,4.09879
2007-01,-2.67239
2007-02,0.76554
2007-03,12.96620
2007-04,10.21720
2007-05,9.48048
2007-06,-1.94238
2007-07,-3.00478
2007-08,-5.86582
2007-09,0.37325
2007-10,-0.07311
2007-11,9.72336
2007-12,-1.59154
2008-01,0.99225
2008-02,-0.57570
2008-03,7.23380
2008-04,5.57438
2008-05,9.54986
2008-06,7.87837
2008-07,0.68873
2008-08,-7.44076
2008-09,-2.48079
2008-10,-15.03915
2008-11,-30.83804
2008-12,-20.69802
2009-01,5.73983
2009-02,7.52809
2009-03,1.02818
2009-04,5.29000
2009-05,9.63362
2009-06,16.41434
2009-07,-3.36147
2009-08,3.31919
2009-09,-2.05925
2009-10,-0.84292
2009-11,4.10732
2009-12,-1.49562
2010-01,4.22144
2010-02,-2.79343
2010-03,4.47099
2010-04,2.94536
2010-05,0.70924
2010-06,-4.82201
2010-07,-0.05252
2010-08,0.43530
2010-09,-1.39977
2010-10,3.32501
2010-11,2.01146
2010-12,4.49119
2011-01,3.78350
2011-02,2.20508
2011-03,11.72431
2011-04,7.50494
2011-05,3.60211
2011-06,-5.77331
2011-07,-1.50625
2011-08,-0.47672
2011-09,-0.72317
2011-10,-4.25250
2011-11,-1.14608
2011-12,-4.02515
2012-01,3.57981
2012-02,4.92293
2012-03,8.09765
2012-04,1.80787
2012-05,-3.61528
2012-06,-6.13620
2012-07,-2.71575
2012-08,7.22881
2012-09,4.11508
2012-10,-2.11096
2012-11,-7.68052
2012-12,-4.20117
2013-01,0.28396
2013-02,10.06435
2013-03,1.35768
2013-04,-3.66452
2013-05,0.82452
2013-06,0.59932
2013-07,-0.42471
2013-08,-0.49246
2013-09,-1.31112
2013-10,-4.91092
2013-11,-3.29445
2013-12,0.72344
2014-01,1.35586
2014-02,1.11895
2014-03,5.05497
2014-04,3.57054
2014-05,0.66564
2014-06,0.28352
2014-07,-1.51413
2014-08,-4.10636
2014-09,-2.13478
2014-10,-6.28539
2014-11,-8.90621
2014-12,-11.05537
2015-01,-17.12682
2015-02,5.26137
2015-03,10.54941
2015-04,0.00882
2015-05,10.53973
2015-06,2.54272
2015-07,-0.20063
2015-08,-5.42513
2015-09,-10.09661
2015-10,-3.93845
2015-11,-4.20742
2015-12,-5.87569
2016-01,-4.41347
2016-02,-9.91409
2016-03,10.21713
2016-04,9.07042
2016-05,6.56753
2016-06,4.37854
2016-07,-5.53413
2016-08,-3.00549
2016-09,2.34561
2016-10,1.82647
2016-11,-2.44988
2016-12,1.76240
2017-01,5.33139
2017-02,-2.13365
2017-03,1.11905
2017-04,4.01876
2017-05,-1.40427
2017-06,-1.69976
2017-07,-2.28676
2017-08,3.89068
2017-09,10.61340
2017-10,-5.44636
2017-11,2.57833
2017-12,-3.32074
2018-01,3.24060
2018-02,1.61479
