DATE,Average Temperature (F)
2015-1-08,34
2015-1-09,45
2015-1-10,47
2015-1-11,56
2015-1-12,62
2015-1-13,58
2015-1-14,50
2015-1-15,45
2015-1-16,49
2015-1-17,51
2015-1-18,56
2015-1-19,51
2015-1-20,54
2015-1-21,62
2015-1-22,59
2015-1-23,60
2015-1-24,55
2015-1-25,49
2015-1-26,52
2015-1-27,50
2015-1-28,45
2015-1-29,49
2015-1-30,55
2015-1-31,48
2015-2-01,56
2015-2-02,55
2015-2-03,44
2015-2-04,51
2015-2-05,53
2015-2-06,47
2015-2-07,50
2015-2-08,57
2015-2-09,55
2015-2-10,53
2015-2-11,52
2015-2-12,56
2015-2-13,42
2015-2-14,46
2015-2-15,53
2015-2-16,59
2015-2-17,56
2015-2-18,46
2015-2-19,35
2015-2-20,36
2015-2-21,50
2015-2-22,65
2015-2-23,65
2015-2-24,51
2015-2-25,56
2015-2-26,57
2015-2-27,49
2015-2-28,51
2015-3-01,56
2015-3-02,67
2015-3-03,69
2015-3-04,74
2015-3-05,72
2015-3-06,55
2015-3-07,50
2015-3-08,54
2015-3-09,61
2015-3-10,69
2015-3-11,75
2015-3-12,65
2015-3-13,72
2015-3-14,77
2015-3-15,72
2015-3-16,68
2015-3-17,71
2015-3-18,67
2015-3-19,69
2015-3-20,70
2015-3-21,73
2015-3-22,70
2015-3-23,63
2015-3-24,62
2015-3-25,67
2015-3-26,68
2015-3-27,64
2015-3-28,53
2015-3-29,51
2015-3-30,59
2015-3-31,68
2015-4-01,71
2015-4-02,68
2015-4-03,73
2015-4-04,71
2015-4-05,68
2015-4-06,70
2015-4-07,73
2015-4-08,75
2015-4-09,74
2015-4-10,77
2015-4-11,74
2015-4-12,75
2015-4-13,76
2015-4-14,78
2015-4-15,76
2015-4-16,67
2015-4-17,70
2015-4-18,75
2015-4-19,77
2015-4-20,70
2015-4-21,72
2015-4-22,70
2015-4-23,74
2015-4-24,68
2015-4-25,70
2015-4-26,80
2015-4-27,71
2015-4-28,68
2015-4-29,71
2015-4-30,68
2015-5-01,66
2015-5-02,63
2015-5-03,66
2015-5-04,67
2015-5-05,70
2015-5-06,71
2015-5-07,73
2015-5-08,76
2015-5-09,76
2015-5-10,78
2015-5-11,80
2015-5-12,80
2015-5-13,80
2015-5-14,76
2015-5-15,76
2015-5-16,71
2015-5-17,75
2015-5-18,76
2015-5-19,81
2015-5-20,80
2015-5-21,82
2015-5-22,75
2015-5-23,73
2015-5-24,77
2015-5-25,79
2015-5-26,80
2015-5-27,78
2015-5-28,73
2015-5-29,74
2015-5-30,73
2015-5-31,77
2015-6-01,78
2015-6-02,75
2015-6-03,78
2015-6-04,77
2015-6-05,77
2015-6-06,78
2015-6-07,77
2015-6-08,79
2015-6-09,82
2015-6-10,78
2015-6-11,78
2015-6-12,80
2015-6-13,82
2015-6-14,81
2015-6-15,81
2015-6-16,83
2015-6-17,85
2015-6-18,85
2015-6-19,86
2015-6-20,86
2015-6-21,86
2015-6-22,84
2015-6-23,81
2015-6-24,85
2015-6-25,81
2015-6-26,82
2015-6-27,84
2015-6-28,82
2015-6-29,79
2015-6-30,79
