date,Average Temperature (F)
2015-01-26,27
2015-01-27,25
2015-01-28,25
2015-01-29,28
2015-01-30,29
2015-01-31,20
2015-02-01,28
2015-02-02,24
2015-02-03,20
2015-02-04,34
2015-02-05,28
2015-02-06,20
2015-02-07,33
2015-02-08,33
2015-02-09,27
2015-02-10,33
2015-02-11,28
2015-02-12,28
2015-02-13,15
2015-02-14,24
2015-02-15,15
2015-02-16,12
2015-02-17,21
2015-02-18,26
2015-02-19,18
2015-02-20,11
2015-02-21,23
2015-02-22,38
2015-02-23,23
2015-02-24,14
2015-02-25,29
2015-02-26,27
2015-02-27,24
2015-02-28,21
2015-03-01,28
2015-03-02,33
2015-03-03,30
2015-03-04,40
2015-03-05,30
2015-03-06,20
2015-03-07,28
2015-03-08,43
2015-03-09,47
2015-03-10,46
2015-03-11,52
2015-03-12,42
2015-03-13,37
2015-03-14,46
2015-03-15,40
2015-03-16,44
2015-03-17,46
2015-03-18,34
2015-03-19,36
2015-03-20,34
2015-03-21,38
2015-03-22,36
2015-03-23,31
2015-03-24,36
2015-03-25,42
2015-03-26,52
2015-03-27,43
2015-03-28,33
2015-03-29,36
2015-03-30,45
2015-03-31,41
2015-04-01,42
2015-04-02,54
2015-04-03,62
2015-04-04,51
2015-04-05,52
2015-04-06,53
2015-04-07,52
2015-04-08,41
2015-04-09,40
2015-04-10,48
2015-04-11,51
2015-04-12,55
2015-04-13,59
2015-04-14,60
2015-04-15,62
2015-04-16,58
2015-04-17,63
2015-04-18,70
2015-04-19,56
2015-04-20,52
2015-04-21,59
2015-04-22,59
2015-04-23,47
2015-04-24,46
2015-04-25,50
2015-04-26,55
2015-04-27,56
2015-04-28,61
2015-04-29,64
2015-04-30,58
2015-05-01,56
2015-05-02,61
2015-05-03,66
2015-05-04,71
2015-05-05,76
2015-05-06,66
2015-05-07,68
2015-05-08,69
2015-05-09,64
2015-05-10,72
2015-05-11,77
2015-05-12,75
2015-05-13,62
2015-05-14,62
2015-05-15,65
2015-05-16,66
2015-05-17,74
2015-05-18,68
2015-05-19,70
2015-05-20,61
2015-05-21,57
2015-05-22,65
2015-05-23,60
2015-05-24,69
2015-05-25,75
2015-05-26,78
2015-05-27,78
2015-05-28,78
2015-05-29,75
2015-05-30,76
2015-05-31,72
2015-06-01,55
2015-06-02,53
2015-06-03,61
2015-06-04,60
2015-06-05,63
2015-06-06,68
2015-06-07,65
2015-06-08,71
2015-06-09,76
2015-06-10,74
2015-06-11,81
2015-06-12,81
2015-06-13,79
2015-06-14,77
2015-06-15,74
2015-06-16,72
2015-06-17,74
2015-06-18,68
2015-06-19,78
2015-06-20,70
2015-06-21,80
2015-06-22,79
2015-06-23,83
2015-06-24,76
2015-06-25,74
2015-06-26,75
2015-06-27,65
2015-06-28,68
2015-06-29,70
2015-06-30,75
